Organismal Systems,Circadian rhythm - plant,3
Organismal Systems,Plant-pathogen interaction,42
Cellular Processes,Regulation of autophagy,2
Cellular Processes,Endocytosis,11
Cellular Processes,Phagosome,11
Cellular Processes,Peroxisome,14
Environmental Information Processing,ABC transporters,3
Environmental Information Processing,Phosphatidylinositol signaling system,5
Environmental Information Processing,Plant hormone signal transduction,59
Genetic Information Processing,Proteasome,1
Genetic Information Processing,RNA polymerase,1
Genetic Information Processing,Base excision repair,2
Genetic Information Processing,RNA transport,3
Genetic Information Processing,SNARE interactions in vesicular transport,3
Genetic Information Processing,Spliceosome,3
Genetic Information Processing,Aminoacyl-tRNA biosynthesis,4
Genetic Information Processing,mRNA surveillance pathway,4
Genetic Information Processing,RNA degradation,5
Genetic Information Processing,Ubiquitin mediated proteolysis,5
Genetic Information Processing,Protein export,6
Genetic Information Processing,Protein processing in endoplasmic reticulum,29
Genetic Information Processing,Ribosome,32
Metabolism,Monobactam biosynthesis,1
Metabolism,Selenocompound metabolism,1
Metabolism,Taurine and hypotaurine metabolism,1
Metabolism,Thiamine metabolism,1
Metabolism,@@Arachidonic acid metabolism,2
Metabolism,Butanoate metabolism,2
Metabolism,Diterpenoid biosynthesis,2
Metabolism,@@Flavonoid biosynthesis,2
Metabolism,Indole alkaloid biosynthesis,2
Metabolism,One carbon pool by folate,2
Metabolism,"Valine, leucine and isoleucine biosynthesis",2
Metabolism,Glucosinolate biosynthesis,3
Metabolism,Glycosphingolipid biosynthesis - globo series,3
Metabolism,Lysine biosynthesis,3
Metabolism,Lysine degradation,3
Metabolism,Other glycan degradation,3
Metabolism,Pantothenate and CoA biosynthesis,3
Metabolism,Sulfur metabolism,3
Metabolism,Brassinosteroid biosynthesis,4
Metabolism,Ether lipid metabolism,4
Metabolism,Linoleic acid metabolism,4
Metabolism,Sesquiterpenoid and triterpenoid biosynthesis,4
Metabolism,Zeatin biosynthesis,4
Metabolism,Arginine biosynthesis,5
Metabolism,Citrate cycle (TCA cycle),5
Metabolism,Histidine metabolism,5
Metabolism,@@Pyrimidine metabolism,5
Metabolism,Sphingolipid metabolism,5
Metabolism,Terpenoid backbone biosynthesis,5
Metabolism,"Alanine, aspartate and glutamate metabolism",7
Metabolism,alpha-Linolenic acid metabolism,7
Metabolism,Biosynthesis of unsaturated fatty acids,7
Metabolism,Biotin metabolism,7
Metabolism,Carotenoid biosynthesis,7
Metabolism,Nitrogen metabolism,7
Metabolism,Oxidative phosphorylation,7
Metabolism,@@Purine metabolism,7
Metabolism,Steroid biosynthesis,7
Metabolism,2-Oxocarboxylic acid metabolism,8
Metabolism,Ascorbate and aldarate metabolism,8
Metabolism,Isoquinoline alkaloid biosynthesis,8
Metabolism,Propanoate metabolism,8
Metabolism,Tryptophan metabolism,8
Metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,8
Metabolism,Arginine and proline metabolism,9
Metabolism,Galactose metabolism,9
Metabolism,Inositol phosphate metabolism,9
Metabolism,Fructose and mannose metabolism,10
Metabolism,Tyrosine metabolism,10
Metabolism,"Valine, leucine and isoleucine degradation",10
Metabolism,beta-Alanine metabolism,11
Metabolism,Fatty acid degradation,11
Metabolism,Phenylalanine metabolism,11
Metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",11
Metabolism,Photosynthesis - antenna proteins,12
Metabolism,"Tropane, piperidine and pyridine alkaloid biosynthesis",12
Metabolism,Pentose phosphate pathway,13
Metabolism,Pyruvate metabolism,13
Metabolism,"Cutin, suberine and wax biosynthesis",14
Metabolism,Glycerophospholipid metabolism,14
Metabolism,Limonene and pinene degradation,14
Metabolism,Cysteine and methionine metabolism,15
Metabolism,Fatty acid biosynthesis,15
Metabolism,Fatty acid elongation,15
Metabolism,Glycerolipid metabolism,15
Metabolism,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",15
Metabolism,Carbon fixation in photosynthetic organisms,16
Metabolism,Glyoxylate and dicarboxylate metabolism,16
Metabolism,Pentose and glucuronate interconversions,17
Metabolism,Amino sugar and nucleotide sugar metabolism,19
Metabolism,Cyanoamino acid metabolism,19
Metabolism,"Glycine, serine and threonine metabolism",19
Metabolism,Porphyrin and chlorophyll metabolism,19
Metabolism,Glycolysis / Gluconeogenesis,20
Metabolism,Fatty acid metabolism,22
Metabolism,Glutathione metabolism,23
Metabolism,Photosynthesis,32
Metabolism,Biosynthesis of amino acids,37
Metabolism,Starch and sucrose metabolism,46
Metabolism,Carbon metabolism,48
Metabolism,Phenylpropanoid biosynthesis,50
Metabolism,Biosynthesis of secondary metabolites,233
Metabolism,Metabolic pathways,339
